Angle_graph
Time (Seconds),shoulder_pitch (Degrees),elbow_pitch (Degrees),shoulder_yaw (Degrees)
0.000000,0.000000,0.000000,0.000000
0.050000,1.516179,0.000000,-0.006011
0.100000,2.986937,0.000000,0.005478
0.150000,4.818821,-0.000027,0.063439
0.200000,5.903169,-0.000027,0.277634
0.250000,6.025798,0.000014,0.680519
0.300000,5.795115,0.000000,1.279240
0.350000,5.582642,0.000000,2.077279
0.400000,5.440669,0.000014,3.075306
0.450000,5.323122,0.000000,4.273007
0.500000,5.201312,0.000000,5.670587
0.550000,5.071388,-0.000014,7.268401
0.600000,4.936779,-0.000014,9.066270
0.650000,4.799000,0.000027,11.064251
0.700000,4.657438,0.000014,13.262370
0.750000,4.511244,0.000027,15.591902
0.800000,4.361103,0.000014,17.852024
0.850000,4.208435,0.000014,19.943264
0.900000,4.054605,0.000000,21.840336
0.950000,3.900967,0.000000,23.539660
1.000000,3.748544,0.000000,25.040226
1.050000,3.598021,0.000014,26.341227
1.100000,3.449970,0.000000,27.442335
1.150000,3.304842,0.000014,28.343550
1.200000,3.162965,0.000027,29.044861
1.250000,3.024667,0.000014,29.546114
1.300000,2.891096,0.000000,29.847435
1.350000,4.385692,0.000000,29.859074
1.400000,5.722005,0.000014,29.839785
1.450000,6.446237,0.000027,29.831835
1.500000,6.994674,0.000027,29.826590
1.550000,7.724753,0.000014,29.820415
1.600000,8.709338,0.000027,29.813585
1.650000,9.913637,0.000014,29.805634
1.700000,11.312432,0.000027,29.795977
1.750000,12.902925,0.000014,29.784542
1.800000,14.688322,0.000014,29.771387
1.850000,16.617182,0.000014,29.757139
1.900000,18.596556,-0.000014,29.742537
1.950000,20.574976,-0.000014,29.727798
2.000000,22.543327,0.000000,29.713072
2.050000,24.506350,0.000014,29.698427
2.100000,26.466942,0.000000,29.683962
2.150000,28.425280,0.000014,29.669754
2.200000,30.380915,0.000000,29.655766
2.250000,32.333706,0.000000,29.641996
2.300000,34.283737,0.000000,29.628555
2.350000,36.231121,0.000000,29.615358
2.400000,38.175964,0.000000,29.602436
2.450000,40.118263,-0.000014,29.589842
2.500000,42.058189,0.000000,29.577602
2.550000,43.995750,-0.000027,29.565676
2.600000,45.931015,0.000000,29.554106
2.650000,47.864162,-0.000014,29.542933
2.700000,49.795166,-0.000014,29.532099
2.750000,51.724136,0.000014,29.521717
2.800000,53.651176,-0.000014,29.511677
2.850000,55.576363,0.000027,29.502100
2.900000,57.499771,0.000000,29.492949
2.950000,59.421528,-0.000014,29.484179
3.000000,61.341682,0.000014,29.475914
3.050000,63.260353,0.000014,29.468086
3.100000,65.177628,0.000014,29.460737
3.150000,67.093620,0.000000,29.453852
3.200000,69.008369,-0.000014,29.447405
3.250000,70.922005,-0.000014,29.441477
3.300000,72.834663,-0.000027,29.436039
3.350000,74.746407,-0.000014,29.431080
3.400000,76.657280,0.000000,29.426628
3.450000,78.567451,0.000000,29.422680
3.500000,80.477005,0.000014,29.419250
3.550000,82.386040,0.000014,29.416355
3.600000,84.294670,0.000014,29.413963
3.650000,86.202957,-0.000014,29.412106
3.700000,88.110985,-0.000014,29.410877
3.750000,90.018860,-0.000014,29.410194
3.800000,91.926643,-0.000014,29.410152
3.850000,93.834366,-0.000027,29.410753
3.900000,95.742149,-0.000027,29.411983
3.950000,97.650017,0.000000,29.413815
4.000000,99.558083,-0.000014,29.416204
4.050000,101.466454,-0.000027,29.419182
4.100000,103.375282,-0.000014,29.422707
4.150000,105.284660,-0.000027,29.426764
4.200000,107.194687,-0.000027,29.431299
4.250000,109.105499,0.000000,29.436409
4.300000,111.017120,0.000000,29.441996
4.350000,112.929733,0.000014,29.448114
4.400000,114.843346,0.000000,29.454727
