Torque_graph
Time (Seconds),shoulder_pitch (kg*m^2/s^2),elbow_pitch (kg*m^2/s^2),shoullder_yaw (kg*m^2/s^2),shoulder_roll (kg*m^2/s^2)
0.000000,Null,Null,Null,Null
0.050000,0.630730,-0.006134,-0.004884,0.0000095
0.100000,0.978582,0.001121,0.000072,-0.000397
0.150000,1.136414,0.004012,-0.009904,-0.002006
0.200000,1.015781,0.001574,-0.011934,-0.004509
0.250000,0.930154,-0.000097,-0.011917,-0.008087
0.300000,0.916056,-0.000334,-0.012046,-0.013504
0.350000,0.925833,-0.000120,-0.012341,-0.020972
0.400000,0.932109,0.000013,-0.012855,-0.030116
0.450000,0.932275,0.000028,-0.013395,-0.040731
0.500000,0.930228,0.000010,-0.013938,-0.052837
0.550000,0.927979,0.0000002,-0.014527,-0.066531
0.600000,0.925540,-0.00000032,-0.010863,-0.081519
0.650000,0.922607,0.000002,-0.006009,-0.097180
0.700000,0.919058,0.0000034,-0.005493,-0.112987
0.750000,0.914890,0.0000033,-0.006254,-0.128713
0.800000,0.910155,0.0000025,-0.006911,-0.144294
0.850000,0.904890,0.0000025,-0.007464,-0.159697
0.900000,0.899101,0.0000023,-0.008017,-0.174922
0.950000,0.892787,0.0000024,-0.008562,-0.189932
1.000000,0.885962,0.0000023,-0.009079,-0.204713
1.050000,0.878619,0.0000023,-0.009572,-0.219250
1.100000,0.870767,0.000002,-0.010039,-0.233513
1.150000,0.862433,0.0000018,-0.010475,-0.247503
1.200000,0.853611,0.0000019,-0.010882,-0.261189
1.250000,0.844319,0.0000018,-0.011268,-0.274565
1.300000,0.834558,0.0000013,-0.011601,-0.287592
1.350000,0.824357,0.0000013,-0.011929,-0.300286
1.400000,0.813712,0.000001,-0.012210,-0.312600
1.450000,0.802647,0.00000078,-0.012463,-0.324550
1.500000,0.791165,0.00000043,-0.012673,-0.336094
1.550000,0.779296,0.00000029,-0.012860,-0.347236
1.600000,0.767034,-0.00000025,-0.013011,-0.357947
1.650000,0.754411,-0.00000042,-0.013116,-0.368234
1.700000,0.741432,-0.000001,-0.013194,-0.378060
1.750000,0.728115,-0.0000013,-0.013235,-0.387432
1.800000,0.714481,-0.0000018,-0.013235,-0.396335
1.850000,0.700543,-0.0000023,-0.013201,-0.404745
1.900000,0.686319,-0.0000027,-0.013129,-0.412668
1.950000,0.671824,-0.0000031,-0.013033,-0.420086
2.000000,0.657076,-0.0000038,-0.012875,-0.426984
2.050000,0.642099,-0.000004,-0.012705,-0.433376
2.100000,0.627152,-0.0000055,-0.008424,-0.439100
2.150000,0.612778,-0.0000079,-0.002923,-0.443992
2.200000,0.599562,-0.0000095,-0.001510,-0.448082
2.250000,0.587810,-0.0000094,-0.001245,-0.451427
2.300000,0.577585,-0.0000086,-0.000966,-0.454111
2.350000,0.568895,-0.0000079,-0.000642,-0.456214
2.400000,0.561756,-0.0000071,-0.000314,-0.457810
2.450000,0.556184,-0.0000064,-0.0000013,-0.458983
2.500000,0.552200,-0.0000059,0.000324,-0.459785
2.550000,0.549769,-0.0000067,0.000603,-0.460202
2.600000,0.517841,-0.000827,-0.005895,-0.423286
2.650000,0.563100,0.000504,-0.019533,-0.479783
2.700000,0.551856,0.000116,-0.024551,-0.464890
2.750000,0.542582,-0.000190,-0.028961,-0.452718
2.800000,0.541669,-0.000143,-0.034731,-0.452712
2.850000,0.541578,-0.000100,-0.042086,-0.453292
2.900000,0.540379,-0.000104,-0.051100,-0.452242
2.950000,0.538676,-0.000110,-0.061759,-0.450744
3.000000,0.536512,-0.000109,-0.074004,-0.448943
3.050000,0.533657,-0.000108,-0.087792,-0.446556
3.100000,0.531983,-0.000054,-0.102727,-0.445875
3.150000,0.530138,0.0000088,-0.118060,-0.445138
3.200000,0.525574,0.000010,-0.133392,-0.441263
3.250000,0.519755,0.0000012,-0.148600,-0.436196
3.300000,0.513370,0.00000050,-0.163627,-0.430770
3.350000,0.506393,0.0000015,-0.178444,-0.424893
3.400000,0.498783,0.0000015,-0.193037,-0.418462
3.450000,0.490583,0.000001,-0.207388,-0.411527
3.500000,0.481796,0.0000013,-0.221460,-0.404109
3.550000,0.472449,0.000001,-0.235282,-0.396225
3.600000,0.462542,0.00000099,-0.248808,-0.387873
3.650000,0.452095,0.00000098,-0.262012,-0.379066
3.700000,0.441113,0.00000092,-0.274905,-0.369813
3.750000,0.429623,0.00000064,-0.287474,-0.360132
3.800000,0.417627,0.00000053,-0.299682,-0.350015
3.850000,0.405145,0.00000052,-0.311528,-0.339512
3.900000,0.392194,0.00000014,-0.323004,-0.328613
3.950000,0.378786,0.00000027,-0.334087,-0.317332
4.000000,0.364936,-0.000000027,-0.344768,-0.305697
4.050000,0.350664,-0.00000035,-0.355052,-0.293694
4.100000,0.335988,-0.00000030,-0.364903,-0.281377
4.150000,0.320920,-0.00000065,-0.374342,-0.268696
4.200000,0.305475,-0.00000069,-0.383324,-0.255733
4.250000,0.289680,-0.00000077,-0.391874,-0.242478
4.300000,0.273548,-0.00000067,-0.399968,-0.228929
4.350000,0.257093,-0.00000050,-0.407582,-0.215145
4.400000,0.240344,-0.000000080,-0.414715,-0.201101
4.450000,0.223306,-0.000000018,-0.421336,-0.186840
4.500000,0.206007,0.000000071,-0.427452,-0.172363
4.550000,0.188466,0.000000027,-0.433065,-0.157697
4.600000,0.170712,-0.000000051,-0.438175,-0.142854
4.650000,0.152762,0.000000023,-0.442778,-0.127848
4.700000,0.134632,-0.00000017,-0.446858,-0.112691
4.750000,0.116355,-0.00000014,-0.450421,-0.097438
4.800000,0.097941,-0.0000001,-0.453457,-0.082052
4.850000,0.079418,-0.00000017,-0.455970,-0.066591
4.900000,0.060803,-0.00000026,-0.457950,-0.051059
4.950000,0.042121,-0.00000016,-0.459399,-0.035457
5.000000,0.023389,-0.00000031,-0.460311,-0.019829
5.050000,0.004632,-0.0000001,-0.460699,-0.004181
5.100000,-0.014131,-0.00000020,-0.460542,0.011481
5.150000,-0.032880,-0.00000027,-0.459858,0.027123
5.200000,-0.051588,-0.00000019,-0.458638,0.042730
5.250000,-0.070241,-0.00000013,-0.456886,0.058296
5.300000,-0.088811,-0.00000016,-0.454609,0.073787
5.350000,-0.107284,-0.00000026,-0.451794,0.089194
5.400000,-0.125631,-0.00000019,-0.448470,0.104508
