Angle_graph
Time (Seconds),shoulder_pitch (Degrees),elbow_pitch (Degrees),shoulder_yaw (Degrees)
0.000000,0.000000,0.000000,0.000000
0.050000,1.516179,0.000000,-0.006011
0.100000,3.731032,0.000000,0.060966
0.150000,4.741504,0.000014,0.269560
0.200000,4.786488,0.000014,0.668880
0.250000,4.602742,0.000014,1.267669
0.300000,4.495603,0.000027,2.066228
0.350000,4.461001,0.000027,3.064501
0.400000,4.441030,-0.000014,4.262352
0.450000,4.412330,-0.000014,5.660151
0.500000,4.375610,-0.000027,7.258142
0.550000,4.334998,-0.000014,9.056244
0.600000,4.291790,0.000000,10.993832
0.650000,4.245741,-0.000014,12.979846
0.700000,4.196550,-0.000027,14.976283
0.750000,4.144286,0.000000,16.974796
0.800000,4.089152,0.000014,18.974306
0.850000,4.031383,-0.000014,20.974295
0.900000,3.971058,0.000027,22.974434
0.950000,3.908426,0.000014,24.974682
1.000000,3.843457,0.000014,26.975014
1.050000,3.776316,0.000014,28.975370
1.100000,3.707154,0.000014,30.975782
1.150000,3.635969,0.000000,32.976318
1.200000,3.562941,0.000014,34.976868
1.250000,3.488150,0.000000,36.977512
1.300000,3.411597,0.000000,38.978264
1.350000,3.333515,0.000014,40.979057
1.400000,3.253848,0.000014,42.979881
1.450000,3.172732,0.000000,44.980785
1.500000,3.090251,0.000014,46.981758
1.550000,3.006472,0.000000,48.982742
1.600000,2.921463,0.000014,50.983837
1.650000,2.835253,0.000014,52.985016
1.700000,2.747976,0.000027,54.986248
1.750000,2.659662,0.000027,56.987534
1.800000,2.570391,0.000027,58.988876
1.850000,2.480233,0.000027,60.990257
1.900000,2.389255,0.000027,62.991695
1.950000,2.297512,0.000027,64.993210
2.000000,2.205113,0.000027,66.994850
2.050000,2.112113,0.000027,68.996498
2.100000,2.019305,0.000027,70.937241
2.150000,1.928572,0.000027,72.725845
2.200000,1.841965,0.000027,74.325165
2.250000,1.760836,0.000027,75.726746
2.300000,1.685800,0.000027,76.929115
2.350000,1.617034,0.000027,77.931732
2.400000,1.554592,0.000027,78.734367
2.450000,1.498571,0.000027,79.336922
2.500000,1.448984,0.000027,79.739426
2.550000,1.407238,0.000027,79.941795
2.600000,2.334026,0.000027,79.960289
2.650000,2.923485,0.000027,79.951080
2.700000,3.432266,0.000027,79.940796
2.750000,4.051887,0.000027,79.930397
2.800000,4.856142,0.000027,79.918388
2.850000,5.855439,0.000027,79.903587
2.900000,7.050873,0.000027,79.885330
2.950000,8.444190,0.000027,79.863419
3.000000,10.036076,0.000027,79.837944
3.050000,11.826350,0.000027,79.808891
3.100000,13.752012,0.000027,79.777023
3.150000,15.723396,0.000027,79.743645
3.200000,17.705858,0.000027,79.709579
3.250000,19.690247,0.000027,79.675362
3.300000,21.674500,0.000027,79.641342
3.350000,23.657671,0.000027,79.607658
3.400000,25.639397,0.000027,79.574356
3.450000,27.619686,0.000027,79.541489
3.500000,29.598488,0.000027,79.509193
3.550000,31.575855,0.000027,79.477341
3.600000,33.551788,0.000027,79.446060
3.650000,35.526302,0.000027,79.415428
3.700000,37.499447,0.000027,79.385460
3.750000,39.471268,0.000027,79.356087
3.800000,41.441803,0.000027,79.327446
3.850000,43.411083,0.000027,79.299522
3.900000,45.379150,0.000027,79.272324
3.950000,47.346024,0.000027,79.245934
4.000000,49.311810,0.000027,79.220360
4.050000,51.276539,0.000027,79.195564
4.100000,53.240246,0.000027,79.171661
4.150000,55.202995,0.000027,79.148590
4.200000,57.164871,0.000027,79.126419
4.250000,59.125931,0.000027,79.105202
4.300000,61.086193,0.000027,79.085014
4.350000,63.045734,0.000027,79.065903
4.400000,65.004562,0.000027,79.047966
4.450000,66.962631,0.000027,79.031258
