Torque_graph
Time (Seconds),shoulder_pitch (kg*m^2/s^2),elbow_pitch (kg*m^2/s^2),shoullder_yaw (kg*m^2/s^2)
0.000000,Null,Null,Null
0.050000,0.630730,-0.006134,-0.004884
0.100000,1.105022,0.003566,0.004501
0.150000,0.822120,-0.002115,-0.005200
0.200000,1.096325,0.003199,-0.010472
0.250000,1.032355,0.001961,-0.011096
0.300000,0.943881,0.000212,-0.011921
0.350000,0.917459,-0.000279,-0.012398
0.400000,0.922673,-0.000154,-0.012760
0.450000,0.929449,-0.000012,-0.013334
0.500000,0.930784,0.000024,-0.013989
0.550000,0.929237,0.000013,-0.014625
0.600000,0.927074,0.0000012,-0.015295
0.650000,0.924667,-0.0000008,-0.016017
0.700000,0.921591,0.00000080,-0.016751
0.750000,0.917526,0.0000017,-0.012557
0.800000,0.912662,0.000002,0.0000024
0.850000,0.907392,0.0000016,0.003362
0.900000,0.901974,-0.000000100,0.002909
0.950000,0.896640,-0.000002,0.002518
1.000000,0.891578,-0.0000034,0.002498
1.050000,0.886916,-0.000004,0.002578
1.100000,0.882737,-0.0000046,0.002709
1.150000,0.879145,-0.0000049,0.002933
1.200000,0.876207,-0.0000049,0.003245
1.250000,0.873981,-0.0000051,0.003626
1.300000,0.872394,-0.0000077,0.004069
1.350000,0.650729,-0.004607,0.003123
1.400000,0.957932,0.001960,-0.017608
1.450000,0.940496,0.001520,-0.020167
1.500000,0.864265,-0.000113,-0.022089
1.550000,0.836049,-0.000636,-0.025245
1.600000,0.837835,-0.000528,-0.029012
1.650000,0.841418,-0.000392,-0.033576
1.700000,0.839453,-0.000363,-0.039063
1.750000,0.834310,-0.000376,-0.045397
1.800000,0.828002,-0.000385,-0.052524
1.850000,0.827803,-0.000235,-0.060137
1.900000,0.829599,-0.000020,-0.067805
1.950000,0.823092,0.000041,-0.075389
2.000000,0.811788,0.000024,-0.082881
2.050000,0.799403,0.0000075,-0.090278
2.100000,0.786726,0.0000046,-0.097562
2.150000,0.773398,0.0000068,-0.104704
2.200000,0.759157,0.0000076,-0.111713
2.250000,0.744010,0.0000076,-0.118576
2.300000,0.728013,0.0000071,-0.125287
2.350000,0.711208,0.0000067,-0.131840
2.400000,0.693626,0.0000067,-0.138234
2.450000,0.675264,0.0000063,-0.144452
2.500000,0.656170,0.0000062,-0.150489
2.550000,0.636353,0.0000059,-0.156351
2.600000,0.615840,0.0000058,-0.162018
2.650000,0.594658,0.0000055,-0.167491
2.700000,0.572839,0.0000054,-0.172760
2.750000,0.550392,0.0000051,-0.177822
2.800000,0.527357,0.0000047,-0.182680
2.850000,0.503757,0.0000047,-0.187317
2.900000,0.479619,0.0000043,-0.191733
2.950000,0.454970,0.0000042,-0.195924
3.000000,0.429839,0.0000039,-0.199890
3.050000,0.404251,0.0000038,-0.203621
3.100000,0.378236,0.0000034,-0.207113
3.150000,0.351825,0.0000032,-0.210365
3.200000,0.325038,0.0000029,-0.213378
3.250000,0.297914,0.0000027,-0.216141
3.300000,0.270472,0.0000024,-0.218656
