Angle_graph,,,
Time (Seconds),shoulder_pitch (Degrees),elbow_pitch (Degrees),shoulder_yaw (Degrees)
0,0,0,0
0.05,1.516179,0,-0.006011
0.1,3.732193,-1.4E-05,0.061007
0.15,4.74511,0,0.269588
0.2,4.79299,1.4E-05,0.668894
0.25,4.612126,2.7E-05,1.267669
0.3,4.507761,0,2.066228
0.35,4.475919,0,3.064474
0.4,4.458693,1.4E-05,4.262339
0.45,4.432765,2.7E-05,5.660137
0.5,4.398833,1.4E-05,7.258114
0.55,4.361035,0,9.056203
0.6,4.320559,0,10.993777
0.65,4.277228,0,12.979764
0.7,4.230824,0,14.976173
0.75,4.181319,0,16.974646
0.8,4.128973,0,18.974129
0.85,4.073948,1.4E-05,20.974091
0.9,4.016425,1.4E-05,22.974201
0.95,3.956565,2.7E-05,24.974382
1,3.894369,1.4E-05,26.97467
1.05,3.830015,0,28.975016
1.1,3.763585,0,30.975414
1.15,3.69516,1.4E-05,32.975868
1.2,3.624918,1.4E-05,34.976349
1.25,3.552914,0,36.976952
1.3,3.479148,1.4E-05,38.977623
1.35,3.403811,1.4E-05,40.978294
1.4,3.326958,1.4E-05,42.97905
1.45,3.248643,0,44.979897
1.5,3.168921,0,46.980816
1.55,3.087915,0,48.981789
1.6,3.005679,0,50.982788
1.65,2.922269,0,52.983841
1.7,2.83778,0,54.98502
1.75,2.752252,0,56.986237
1.8,2.665741,0,58.987495
1.85,2.578342,0,60.988796
1.9,2.49015,0,62.990192
1.95,2.401249,0,64.991669
2,2.311609,0,66.993187
2.05,2.221396,0,68.99472
2.1,2.13065,0,70.996323
2.15,2.03944,0,72.997986
2.2,1.947902,0,74.999687
2.25,1.856063,0,77.001396
2.3,1.764019,0,79.003212
2.35,1.672604,0,80.943832
2.4,1.583648,0,82.732208
2.45,1.499295,0,84.331352
2.5,1.42072,0,85.732796
2.55,1.348375,0,86.935005
2.6,1.28245,0,87.937416
2.65,1.222973,0,88.739815
2.7,1.169943,0,89.342125
2.75,1.123348,0,89.74437
2.8,1.084279,0,89.946571
2.85,1.76223,0,89.908989
2.9,2.0272,0,89.690025
2.95,2.111662,0,89.282188
3,2.140827,0,88.679626
3.05,2.159064,0,87.879456
3.1,2.176126,0,86.880157
3.15,2.194881,0,85.681114
3.2,2.216997,0,84.282227
3.25,2.243034,0,82.683418
3.3,2.273155,0,80.88475
3.35,2.307333,0,78.947495
3.4,2.344913,0,76.962357
3.45,2.384269,0,74.96611
3.5,2.424212,0,72.967407
3.55,2.464168,0,70.967781
3.6,2.503934,0,68.967865
3.65,2.543358,0,66.96785
3.7,2.582344,0,64.967789
3.75,2.620839,0,62.967747
3.8,2.65872,0,60.96769
3.85,2.695917,1.4E-05,58.967648
3.9,2.732404,1.4E-05,56.96767
3.95,2.768044,1.4E-05,54.967655
4,2.802836,0,52.967667
4.05,2.836687,0,50.967651
4.1,2.869485,0,48.967648
4.15,2.901191,0,46.967632
4.2,2.931763,0,44.967628
4.25,2.961106,1.4E-05,42.967613
4.3,2.989082,0,40.967651
4.35,3.015788,0,38.967651
4.4,3.040964,0,36.967636
4.45,3.064651,0,34.967548
4.5,3.086726,0,32.967506
4.55,3.107149,0,30.967422
4.6,3.125782,1.4E-05,28.967365
4.65,3.142488,-1.4E-05,26.967295
4.7,3.157296,1.4E-05,24.967169
4.75,3.169959,0,22.967045
4.8,3.18045,-1.4E-05,20.966946
4.85,3.188674,1.4E-05,18.96678
4.9,3.194493,1.4E-05,16.9666
4.95,3.19784,1.4E-05,14.96642
5,3.198509,1.4E-05,12.966227
5.05,3.19646,1.4E-05,10.966046
5.1,3.192007,1.4E-05,9.029647
5.15,3.185942,0,7.246408
5.2,3.178852,1.4E-05,5.653129
5.25,3.170984,2.7E-05,4.257913
5.3,3.162938,1.4E-05,3.061783
5.35,3.155192,1.4E-05,2.065108
5.4,3.148267,2.7E-05,1.26827
5.45,3.142734,1.4E-05,0.671968
5.5,3.138855,1.4E-05,0.275475
5.55,4.756763,0,0.238046
5.6,6.307762,2.7E-05,0.262266
5.65,7.083398,2.7E-05,0.264943
5.7,7.606222,0,0.25717
5.75,8.3076,0,0.250927
5.8,9.280711,2.7E-05,0.245941
5.85,10.485229,0,0.240873
5.9,11.886879,2.7E-05,0.235532
5.95,13.478614,2.7E-05,0.230136
6,15.26337,1.4E-05,0.224768
6.05,17.193035,1.4E-05,0.219522
6.1,19.174459,1.4E-05,0.214359
6.15,21.152166,2.7E-05,0.209127
6.2,23.116802,1.4E-05,0.203867
6.25,25.074348,2.7E-05,0.198567
6.3,27.028889,1.4E-05,0.193376
6.35,28.981068,2.7E-05,0.188144
6.4,30.930416,2.7E-05,0.182885
6.45,32.876637,4.1E-05,0.177681
6.5,34.819813,1.4E-05,0.172449
