Torque_graph,,,
Time (Seconds),shoulder_pitch (kg*m^2/s^2),elbow_pitch (kg*m^2/s^2),shoullder_yaw (kg*m^2/s^2)
0,0.63073,-0.006134,-0.004884
0.05,0.63073,-0.006134,-0.004884
0.1,0.978381,0.001117,7.6E-05
0.15,1.136283,0.00401,-0.009908
0.2,1.015753,0.001573,-0.011937
0.25,0.930156,-9.7E-05,-0.011917
0.3,0.916051,-0.000334,-0.012043
0.35,0.925815,-0.00012,-0.012348
0.4,0.932085,1.3E-05,-0.012861
0.45,0.932253,2.8E-05,-0.013407
0.5,0.930194,9.9E-06,-0.01396
0.55,0.927954,3.4E-07,-0.014552
0.6,0.92551,-9.7E-08,-0.010904
0.65,0.922562,2E-06,-0.006052
0.7,0.919022,3.4E-06,-0.005562
0.75,0.914849,3.3E-06,-0.006334
0.8,0.910111,2.8E-06,-0.007011
0.85,0.904842,2.4E-06,-0.007576
0.9,0.899057,2.4E-06,-0.00815
0.95,0.892744,2.4E-06,-0.008717
1,0.885907,2.5E-06,-0.00926
1.05,0.878565,2.1E-06,-0.00977
1.1,0.870717,2.2E-06,-0.010262
1.15,0.862375,2.1E-06,-0.010717
1.2,0.853558,1.9E-06,-0.011164
1.25,0.844258,1.7E-06,-0.011567
1.3,0.834507,1.7E-06,-0.01194
1.35,0.824299,1.4E-06,-0.012286
1.4,0.813657,1.2E-06,-0.012603
1.45,0.802589,8.7E-07,-0.012888
1.5,0.791113,6.4E-07,-0.013125
1.55,0.779237,3.3E-07,-0.013341
1.6,0.766978,-4.8E-08,-0.013528
1.65,0.754356,-4.8E-07,-0.013671
1.7,0.741376,-7.2E-07,-0.013775
1.75,0.728067,-1.2E-06,-0.01385
1.8,0.714432,-1.6E-06,-0.013883
1.85,0.700493,-2.1E-06,-0.013889
1.9,0.686272,-2.6E-06,-0.013848
1.95,0.67178,-2.9E-06,-0.013776
2,0.657032,-3.6E-06,-0.013667
2.05,0.642057,-3.8E-06,-0.013524
2.1,0.626868,-4.4E-06,-0.013356
2.15,0.611478,-4.8E-06,-0.01314
2.2,0.595913,-5E-06,-0.012908
2.25,0.580194,-5.6E-06,-0.012637
2.3,0.564332,-5.9E-06,-0.012321
2.35,0.548606,-7E-06,-0.007986
2.4,0.533603,-8.6E-06,-0.002465
2.45,0.519882,-9E-06,-0.000969
2.5,0.507739,-8E-06,-0.000613
2.55,0.497207,-6.9E-06,-0.000269
2.6,0.488281,-5.8E-06,9.3E-05
2.65,0.48097,-5E-06,0.000439
2.7,0.475287,-4.2E-06,0.000759
2.75,0.47122,-3.6E-06,0.001084
2.8,0.468761,-3.6E-06,0.001378
2.85,0.453808,-0.000284,0.000229
2.9,0.478479,0.000265,-0.005918
2.95,0.475217,6.9E-05,-0.007003
3,0.475694,-5.7E-05,-0.007071
