Sample,Roll,Pitch,Yaw
1,31.376,47.96,286.358
2,31.285,47.886,286.339
3,31.21,47.826,286.322
4,31.135,47.766,286.306
5,31.06,47.705,286.291
6,30.987,47.645,286.278
7,30.915,47.586,286.265
8,30.844,47.526,286.252
9,30.771,47.467,286.239
10,30.699,47.408,286.226
11,30.628,47.347,286.214
12,30.556,47.286,286.202
13,30.484,47.226,286.189
14,30.411,47.166,286.176
15,30.34,47.106,286.164
16,30.267,47.045,286.151
17,30.194,46.985,286.137
18,30.121,46.923,286.123
19,30.048,46.861,286.109
20,29.975,46.799,286.096
21,29.901,46.737,286.082
22,29.831,46.675,286.07
23,29.759,46.614,286.058
24,29.686,46.553,286.046
25,29.614,46.491,286.035
26,29.542,46.429,286.023
27,29.47,46.368,286.012
28,29.399,46.306,286.001
29,29.327,46.243,285.99
30,29.257,46.181,285.98
31,29.185,46.118,285.969
32,29.113,46.055,285.957
33,29.04,45.991,285.945
34,28.969,45.928,285.934
35,28.896,45.864,285.922
36,28.823,45.801,285.91
37,28.751,45.738,285.898
38,28.679,45.674,285.887
39,28.607,45.61,285.875
40,28.534,45.546,285.863
41,28.462,45.482,285.852
42,28.392,45.419,285.842
43,28.319,45.355,285.83
44,28.248,45.291,285.82
45,28.178,45.226,285.81
46,28.107,45.161,285.801
47,28.036,45.097,285.792
48,27.967,45.033,285.784
49,27.898,44.968,285.776
50,27.827,44.903,285.767
51,27.758,44.838,285.759
52,27.689,44.774,285.753
53,27.622,44.709,285.747
54,27.555,44.645,285.741
55,27.487,44.58,285.735
56,27.418,44.516,285.728
57,27.348,44.451,285.72
58,27.281,44.386,285.714
59,27.211,44.32,285.707
60,27.143,44.253,285.701
61,27.074,44.188,285.694
62,27.007,44.123,285.69
63,26.94,44.059,285.685
64,26.873,43.994,285.681
65,26.807,43.93,285.678
66,26.74,43.865,285.674
67,26.673,43.8,285.67
68,26.605,43.734,285.665
69,26.537,43.668,285.66
70,26.469,43.602,285.655
71,26.4,43.537,285.649
72,26.332,43.471,285.644
73,26.266,43.406,285.641
74,26.2,43.342,285.638
75,26.134,43.277,285.636
76,26.068,43.211,285.634
77,26.002,43.146,285.631
78,25.934,43.079,285.626
79,25.867,43.011,285.622
80,25.8,42.944,285.618
81,25.732,42.877,285.614
82,25.663,42.81,285.609
83,25.597,42.741,285.607
84,25.53,42.675,285.604
85,25.463,42.607,285.602
86,25.397,42.54,285.6
87,25.332,42.471,285.6
88,25.266,42.404,285.598
89,25.2,42.336,285.597
90,25.135,42.269,285.596
91,25.069,42.201,285.595
92,25.005,42.133,285.595
93,24.937,42.064,285.591
94,24.87,41.994,285.588
95,24.803,41.925,285.585
96,24.734,41.856,285.581
97,24.668,41.785,285.579
98,24.601,41.716,285.576
99,24.535,41.646,285.574
100,24.469,41.575,285.571
101,24.404,41.505,285.57
102,24.337,41.434,285.568
103,24.271,41.364,285.566
104,24.205,41.294,285.565
105,24.138,41.224,285.564
106,24.072,41.154,285.562
107,24.005,41.084,285.561
108,23.939,41.014,285.56
109,23.873,40.944,285.559
110,23.807,40.874,285.559
111,23.742,40.804,285.559
112,23.677,40.733,285.56
113,23.612,40.663,285.561
114,23.547,40.593,285.561
115,23.481,40.522,285.562
116,23.416,40.451,285.562
117,23.35,40.381,285.563
118,23.286,40.311,285.565
119,23.223,40.24,285.568
120,23.159,40.17,285.57
121,23.096,40.099,285.573
122,23.032,40.028,285.575
123,22.969,39.958,285.578
124,22.906,39.888,285.581
125,22.842,39.818,285.585
126,22.779,39.748,285.589
127,22.716,39.678,285.593
128,22.653,39.609,285.597
129,22.59,39.539,285.602
130,22.529,39.469,285.608
131,22.469,39.399,285.615
132,22.407,39.328,285.621
133,22.346,39.258,285.628
134,22.28,39.184,285.629
135,22.215,39.11,285.63
136,22.151,39.037,285.632
137,22.085,38.964,285.633
138,22.02,38.89,285.634
139,21.956,38.817,285.639
140,21.893,38.744,285.644
141,21.831,38.671,285.649
142,21.77,38.598,285.655
143,21.706,38.525,285.66
144,21.645,38.452,285.666
145,21.581,38.381,285.671
146,21.518,38.308,285.677
147,21.456,38.236,285.683
148,21.394,38.163,285.69
149,21.331,38.09,285.696
150,21.269,38.017,285.703
151,21.207,37.944,285.71
152,21.146,37.87,285.717
153,21.084,37.797,285.724
154,21.022,37.724,285.73
155,20.96,37.65,285.737
156,20.898,37.577,285.744
157,20.837,37.503,285.751
158,20.775,37.43,285.758
159,20.714,37.355,285.766
160,20.653,37.281,285.775
161,20.591,37.207,285.783
162,20.531,37.133,285.792
163,20.47,37.059,285.801
164,20.41,36.985,285.811
165,20.35,36.913,285.821
166,20.288,36.84,285.83
167,20.227,36.766,285.84
168,20.168,36.691,285.851
169,20.107,36.616,285.86
170,20.045,36.54,285.869
171,19.983,36.463,285.877
172,19.924,36.387,285.887
173,19.864,36.311,285.898
174,19.803,36.236,285.908
175,19.744,36.16,285.919
176,19.684,36.085,285.929
177,19.623,36.01,285.939
178,19.562,35.934,285.948
179,19.503,35.858,285.96
180,19.442,35.783,285.97
181,19.382,35.707,285.981
182,19.322,35.632,285.992
183,19.263,35.556,286.004
184,19.204,35.479,286.016
185,19.144,35.402,286.027
186,19.084,35.325,286.038
187,19.023,35.248,286.049
188,18.963,35.17,286.06
189,18.902,35.093,286.071
190,18.842,35.015,286.082
191,18.782,34.936,286.093
192,18.721,34.858,286.104
193,18.66,34.78,286.115
194,18.599,34.701,286.126
195,18.539,34.624,286.139
196,18.48,34.546,286.151
197,18.42,34.468,286.164
198,18.361,34.389,286.178
199,18.302,34.311,286.192
200,18.243,34.234,286.206
201,18.185,34.155,286.22
202,18.126,34.078,286.234
203,18.067,34,286.249
204,18.008,33.922,286.263
205,17.948,33.843,286.277
206,17.889,33.765,286.291
207,17.831,33.685,286.307
208,17.772,33.606,286.321
209,17.713,33.526,286.336
210,17.654,33.446,286.348
211,17.594,33.365,286.362
212,17.535,33.284,286.376
213,17.476,33.203,286.39
214,17.416,33.122,286.404
215,17.357,33.044,286.419
216,17.298,32.965,286.435
217,17.24,32.886,286.451
218,17.181,32.807,286.467
219,17.123,32.728,286.483
220,17.064,32.648,286.499
221,17.006,32.569,286.515
222,16.948,32.488,286.531
223,16.889,32.408,286.547
224,16.83,32.327,286.563
225,16.771,32.247,286.578
226,16.712,32.167,286.595
227,16.654,32.087,286.612
228,16.596,32.006,286.628
229,16.537,31.926,286.645
230,16.481,31.845,286.662
231,16.423,31.766,286.68
232,16.366,31.686,286.699
233,16.308,31.607,286.717
234,16.251,31.526,286.736
235,16.193,31.446,286.754
236,16.134,31.365,286.772
237,16.077,31.283,286.791
238,16.019,31.201,286.809
239,15.963,31.119,286.828
240,15.905,31.037,286.847
241,15.848,30.954,286.866
242,15.79,30.873,286.884
243,15.733,30.79,286.903
244,15.674,30.709,286.921
245,15.616,30.625,286.941
246,15.557,30.543,286.959
247,15.499,30.46,286.979
248,15.441,30.378,286.997
249,15.383,30.295,287.018
250,15.326,30.212,287.037
251,15.269,30.13,287.059
252,15.211,30.049,287.08
253,15.152,29.968,287.1
254,15.096,29.886,287.121
255,15.039,29.804,287.143
256,14.984,29.724,287.167
257,14.929,29.643,287.191
258,14.874,29.563,287.215
259,14.818,29.483,287.239
260,14.763,29.403,287.264
261,14.706,29.317,287.283
262,14.647,29.232,287.302
263,14.589,29.147,287.321
264,14.531,29.061,287.34
265,14.474,28.975,287.36
266,14.418,28.89,287.382
267,14.362,28.806,287.404
268,14.304,28.722,287.425
269,14.248,28.638,287.447
270,14.191,28.554,287.469
271,14.137,28.47,287.494
272,14.081,28.387,287.518
273,14.026,28.303,287.542
274,13.971,28.22,287.566
275,13.915,28.138,287.591
276,13.859,28.054,287.614
277,13.803,27.969,287.637
278,13.747,27.885,287.661
279,13.69,27.801,287.684
280,13.633,27.717,287.708
281,13.578,27.632,287.732
282,13.524,27.548,287.759
283,13.469,27.464,287.785
284,13.415,27.381,287.812
285,13.361,27.296,287.839
286,13.306,27.212,287.866
287,13.25,27.124,287.888
288,13.192,27.036,287.91
289,13.135,26.947,287.932
290,13.079,26.859,287.954
291,13.022,26.77,287.977
292,12.967,26.683,288.002
293,12.911,26.596,288.028
294,12.856,26.51,288.053
295,12.8,26.424,288.079
296,12.744,26.337,288.105
297,12.688,26.252,288.132
298,12.633,26.167,288.159
299,12.577,26.082,288.185
300,12.522,25.996,288.213
301,12.467,25.909,288.24
302,12.413,25.821,288.268
303,12.358,25.733,288.296
304,12.304,25.646,288.325
305,12.248,25.558,288.354
306,12.193,25.471,288.382
307,12.139,25.384,288.412
308,12.086,25.298,288.442
309,12.032,25.212,288.471
