Samples, Mx, My, Mz
0, 27.570, 9.880, 21.983
1, 26.393, 10.640, 20.623
2, 26.393, 10.640, 20.623
3, 26.393, 10.640, 20.623
4, 26.393, 10.640, 20.623
5, 26.393, 10.640, 20.623
6, 26.393, 10.640, 20.623
7, 25.952, 11.248, 21.077
8, 25.952, 11.248, 21.077
9, 25.952, 11.248, 21.077
10, 25.952, 11.248, 21.077
11, 25.952, 11.248, 21.077
12, 26.099, 10.640, 20.623
13, 26.099, 10.640, 20.623
14, 26.099, 10.640, 20.623
15, 26.099, 10.640, 20.623
16, 26.099, 10.640, 20.623
17, 26.393, 11.096, 20.623
18, 26.393, 11.096, 20.623
19, 26.393, 11.096, 20.623
20, 26.393, 11.096, 20.623
21, 26.393, 11.096, 20.623
22, 26.834, 10.640, 19.868
23, 26.834, 10.640, 19.868
24, 26.834, 10.640, 19.868
25, 26.834, 10.640, 19.868
26, 26.834, 10.640, 19.868
27, 27.129, 10.640, 20.926
28, 27.129, 10.640, 20.926
29, 27.129, 10.640, 20.926
30, 27.129, 10.640, 20.926
31, 27.129, 10.640, 20.926
32, 26.687, 10.488, 21.077
33, 26.687, 10.488, 21.077
34, 26.687, 10.488, 21.077
35, 26.687, 10.488, 21.077
36, 26.687, 10.488, 21.077
37, 26.393, 10.336, 21.983
38, 26.393, 10.336, 21.983
39, 26.393, 10.336, 21.983
40, 26.393, 10.336, 21.983
41, 26.393, 10.336, 21.983
42, 28.011, 10.792, 21.077
43, 28.011, 10.792, 21.077
44, 28.011, 10.792, 21.077
45, 28.011, 10.792, 21.077
46, 28.011, 10.792, 21.077
47, 26.834, 11.096, 21.983
48, 26.834, 11.096, 21.983
49, 26.834, 11.096, 21.983
50, 26.834, 11.096, 21.983
51, 26.834, 11.096, 21.983
52, 25.952, 10.488, 20.775
53, 25.952, 10.488, 20.775
54, 25.952, 10.488, 20.775
55, 25.952, 10.488, 20.775
56, 25.952, 10.488, 20.775
57, 24.923, 10.184, 20.472
58, 24.923, 10.184, 20.472
59, 24.923, 10.184, 20.472
60, 24.923, 10.184, 20.472
61, 24.923, 10.184, 20.472
62, 26.834, 9.880, 19.566
63, 26.834, 9.880, 19.566
64, 26.834, 9.880, 19.566
65, 26.834, 9.880, 19.566
66, 26.834, 9.880, 19.566
67, 26.687, 10.792, 22.437
68, 26.687, 10.792, 22.437
69, 26.687, 10.792, 22.437
70, 26.687, 10.792, 22.437
71, 26.687, 10.792, 22.437
72, 26.981, 10.792, 21.530
73, 26.981, 10.792, 21.530
74, 26.981, 10.792, 21.530
75, 26.981, 10.792, 21.530
76, 26.981, 10.792, 21.530
77, 25.511, 12.311, 22.437
78, 25.511, 12.311, 22.437
79, 25.511, 12.311, 22.437
80, 25.511, 12.311, 22.437
81, 25.511, 12.311, 22.437
82, 25.952, 10.184, 19.415
83, 25.952, 10.184, 19.415
84, 25.952, 10.184, 19.415
85, 25.952, 10.184, 19.415
86, 25.952, 10.184, 19.415
87, 27.276, 10.488, 20.775
88, 27.276, 10.488, 20.775
89, 27.276, 10.488, 20.775
90, 27.276, 10.488, 20.775
91, 27.276, 10.488, 20.775
92, 27.570, 9.576, 21.228
93, 27.570, 9.576, 21.228
94, 27.570, 9.576, 21.228
95, 27.570, 9.576, 21.228
96, 27.570, 9.576, 21.228
97, 27.276, 11.551, 20.472
98, 27.276, 11.551, 20.472
99, 27.276, 11.551, 20.472
100, 27.276, 11.551, 20.472
101, 27.276, 11.551, 20.472
102, 27.129, 10.336, 20.623
103, 27.129, 10.336, 20.623
104, 27.129, 10.336, 20.623
105, 27.129, 10.336, 20.623
106, 27.129, 10.336, 20.623
