Torque_graph
Time (Seconds),Data (kg*m^2/s^2),Data0 (kg*m^2/s^2),Data1 (kg*m^2/s^2),Data2 (kg*m^2/s^2)
22.199999,0.934156,-0.000122,-0.000373,-0.0000001
22.250000,0.934156,-0.000122,-0.000373,-0.0000001
22.299999,0.934156,-0.000122,-0.000373,-0.000000100
22.349998,0.934156,-0.000122,-0.000373,-0.000000099
22.400000,0.934156,-0.000122,-0.000373,-0.0000001
22.449999,0.934156,-0.000122,-0.000373,-0.000000100
22.500000,0.934156,-0.000122,-0.000373,-0.0000001
22.549999,0.934156,-0.000122,-0.000373,-0.000000100
22.599998,0.934156,-0.000122,-0.000373,-0.0000001
22.650000,0.934156,-0.000122,-0.000373,-0.0000001
22.699999,0.934156,-0.000122,-0.000373,-0.000000100
22.750000,0.934156,-0.000122,-0.000373,-0.0000001
22.799999,0.934156,-0.000122,-0.000373,-0.0000001
22.849998,0.934156,-0.000122,-0.000373,-0.000000099
22.900000,0.934156,-0.000122,-0.000373,-0.0000001
22.949999,0.934156,-0.000122,-0.000373,-0.000000098
23.000000,0.934156,-0.000122,-0.000373,-0.0000001
23.049999,0.934156,-0.000122,-0.000373,-0.0000001
23.099998,0.934156,-0.000122,-0.000373,-0.000000100
23.150000,0.934156,-0.000122,-0.000373,-0.0000001
23.199999,0.934156,-0.000122,-0.000373,-0.0000001
23.250000,0.934156,-0.000122,-0.000373,-0.000000100
23.299999,0.934156,-0.000122,-0.000373,-0.0000001
23.349998,0.934156,-0.000122,-0.000373,-0.000000099
23.400000,0.934156,-0.000122,-0.000373,-0.0000001
23.449999,0.934156,-0.000122,-0.000373,-0.0000001
23.500000,0.934156,-0.000122,-0.000373,-0.000000099
23.549999,0.934156,-0.000122,-0.000373,-0.0000001
23.599998,0.934156,-0.000122,-0.000373,-0.0000001
23.650000,0.934156,-0.000122,-0.000373,-0.000000099
23.699999,0.934156,-0.000122,-0.000373,-0.0000001
23.750000,0.934156,-0.000122,-0.000373,-0.0000001
23.799999,0.934156,-0.000122,-0.000373,-0.0000001
23.849998,0.934156,-0.000122,-0.000373,-0.000000100
23.900000,0.934156,-0.000122,-0.000373,-0.0000001
23.949999,0.934156,-0.000122,-0.000373,-0.0000001
24.000000,0.934156,-0.000122,-0.000373,-0.0000001
24.049999,0.934156,-0.000122,-0.000373,-0.000000099
24.099998,0.934156,-0.000122,-0.000373,-0.0000001
24.150000,0.934156,-0.000122,-0.000373,-0.000000099
24.199999,0.934156,-0.000122,-0.000373,-0.000000099
24.250000,0.934156,-0.000122,-0.000373,-0.000000100
24.299999,0.934156,-0.000122,-0.000373,-0.0000001
24.349998,0.934156,-0.000122,-0.000373,-0.0000001
