Graph
Time (Seconds),Data0 (kg*m^2/s^2),Data (kg*m^2/s^2)
0.000000,Null,Null
0.050000,0.630730,-0.006134
0.100000,0.967669,0.000911
0.150000,1.113852,0.003583
0.200000,0.989734,0.001092
0.250000,0.904145,-0.000561
0.300000,0.889872,-0.000779
0.350000,0.906898,-0.000396
0.400000,0.923856,-0.000024
0.450000,0.926296,0.000066
0.500000,0.922048,0.000034
0.550000,0.917464,0.0000033
0.600000,0.913777,-0.0000029
0.650000,0.910307,0.000000061
0.700000,0.906546,0.0000023
0.750000,0.902434,0.0000028
0.800000,0.898015,0.0000025
0.850000,0.893336,0.0000022
0.900000,0.888415,0.0000022
0.950000,0.883237,0.0000022
1.000000,0.877806,0.0000021
1.050000,0.872118,0.0000022
1.100000,0.866187,0.000002
1.150000,0.860008,0.0000021
1.200000,0.853585,0.0000022
1.250000,0.846911,0.0000019
1.300000,0.840009,0.0000020
1.350000,0.832865,0.0000019
1.400000,0.825490,0.0000019
1.450000,0.817884,0.0000019
1.500000,0.810043,0.0000019
1.550000,0.801982,0.0000018
1.600000,0.793697,0.0000017
1.650000,0.785190,0.0000017
1.700000,0.776468,0.0000016
1.750000,0.767532,0.0000017
1.800000,0.758384,0.0000015
1.850000,0.749030,0.0000017
1.900000,0.739465,0.0000014
1.950000,0.729704,0.0000015
2.000000,0.719739,0.0000014
2.050000,0.709580,0.0000015
2.100000,0.699228,0.0000012
2.150000,0.688691,0.0000013
2.200000,0.677965,0.0000013
2.250000,0.667056,0.0000013
2.300000,0.655969,0.0000013
2.350000,0.644700,0.000001
2.400000,0.633265,0.0000012
2.450000,0.621658,0.000001
2.500000,0.609890,0.000001
2.550000,0.597955,0.00000098
2.600000,0.585856,0.000001
2.650000,0.573612,0.00000087
2.700000,0.561214,0.00000098
2.750000,0.548660,0.00000083
2.800000,0.535969,0.00000080
2.850000,0.523136,0.00000090
2.900000,0.510158,0.00000066
2.950000,0.497053,0.00000066
3.000000,0.483822,0.00000080
3.050000,0.470460,0.0000007
3.100000,0.456969,0.00000053
3.150000,0.443362,0.00000053
3.200000,0.429645,0.00000056
3.250000,0.415814,0.00000051
3.300000,0.401872,0.00000045
3.350000,0.387828,0.00000050
3.400000,0.373682,0.00000038
3.450000,0.359438,0.00000036
3.500000,0.345105,0.00000033
3.550000,0.330679,0.00000014
3.600000,0.316171,0.00000024
3.650000,0.301584,0.00000031
3.700000,0.286911,0.00000025
3.750000,0.272167,0.00000012
3.800000,0.257358,0.0000001
3.850000,0.242481,0.00000023
3.900000,0.227535,0.000000070
3.950000,0.212535,-0.000000011
4.000000,0.197485,0.000000062
4.050000,0.182379,0.000000061
4.100000,0.167224,-0.00000014
4.150000,0.152031,-0.000000089
4.200000,0.136799,-0.00000012
4.250000,0.121529,-0.0000001
4.300000,0.106230,-0.000000084
4.350000,0.090900,-0.00000016
4.400000,0.075547,-0.00000032
4.450000,0.060179,-0.00000024
4.500000,0.047082,0.000042
4.550000,0.045946,0.000302
4.600000,0.040915,0.000439
4.650000,0.032222,0.000444
4.700000,0.025142,0.000421
4.750000,0.025788,0.000581
4.800000,0.003214,0.000270
4.850000,-0.002556,0.000198
4.900000,-0.000651,0.000252
4.950000,0.001099,0.000293
5.000000,0.001257,0.000204
5.050000,0.000833,0.000070
5.100000,0.000620,0.000022
5.150000,0.000608,0.0000065
5.200000,0.000633,0.0000019
5.250000,0.000637,0.00000023
5.300000,0.000623,-0.00000039
5.350000,0.000609,-0.00000058
5.400000,0.000595,-0.00000074
5.450000,0.000583,-0.00000087
5.500000,0.000572,-0.00000079
5.550000,0.000560,-0.00000076
5.600000,0.000548,-0.00000078
5.650000,0.000536,-0.00000082
5.700000,0.000524,-0.00000083
5.750000,0.000513,-0.00000076
5.800000,0.000501,-0.0000008
5.850000,0.000489,-0.00000077
5.900000,0.000476,-0.00000068
5.950000,0.000463,-0.00000079
6.000000,0.000453,-0.00000078
6.050000,0.000440,-0.00000076
6.100000,0.000428,-0.00000077
6.150000,0.000417,-0.00000075
6.200000,0.000405,-0.00000074
6.250000,0.000392,-0.0000007
6.300000,0.000379,-0.00000082
6.350000,0.000368,-0.00000074
6.400000,0.000358,-0.00000070
6.450000,0.000346,-0.00000077
6.500000,0.000332,-0.0000007
6.550000,0.000319,-0.00000073
6.600000,0.000308,-0.00000073
6.650000,0.000297,-0.00000067
6.700000,0.000284,-0.00000070
6.750000,0.000273,-0.00000071
6.800000,0.000259,-0.00000064
6.850000,0.000249,-0.00000069
6.900000,0.000236,-0.00000067
6.950000,0.000224,-0.00000069
7.000000,0.000212,-0.00000069
7.050000,0.000202,-0.00000064
7.100000,0.000188,-0.00000058
7.150000,0.000176,-0.00000060
7.200000,0.000164,-0.0000007
7.250000,0.000153,-0.0000006
7.300000,0.000141,-0.00000065
7.350000,0.000128,-0.00000059
7.400000,0.000115,-0.00000067
7.450000,0.000105,-0.00000057
7.500000,0.000092,-0.00000052
7.550000,0.000082,-0.00000054
7.600000,0.000071,-0.00000049
7.650000,0.000056,-0.00000061
7.700000,0.000043,-0.00000058
7.750000,0.000032,-0.0000005
7.800000,0.000020,-0.00000054
7.850000,0.0000086,-0.00000046
7.900000,-0.0000021,-0.00000040
7.950000,-0.000016,-0.00000051
8.000000,-0.000027,-0.00000049
8.050000,-0.000040,-0.00000045
8.100000,-0.000052,-0.00000046
8.150001,-0.000064,-0.00000045
8.200000,-0.000076,-0.00000039
8.250000,-0.000087,-0.00000039
8.300000,-0.000100,-0.00000046
8.350000,-0.000113,-0.00000038
8.400001,-0.000121,-0.00000030
8.450000,-0.000136,-0.00000034
8.500000,-0.000148,-0.00000039
8.550000,-0.000161,-0.00000040
8.600000,-0.000171,-0.00000032
8.650001,-0.000184,-0.0000003
8.700000,-0.000195,-0.00000028
8.750000,-0.000207,-0.00000033
8.800000,-0.000220,-0.00000027
8.850000,-0.000230,-0.00000023
8.900001,-0.000246,-0.00000027
8.950000,-0.000255,-0.00000025
9.000000,-0.000266,-0.00000024
9.050000,-0.000279,-0.0000002
9.100000,-0.000293,-0.00000021
9.150001,-0.000305,-0.00000022
9.200000,-0.000315,-0.00000014
9.250000,-0.000479,-0.000097
9.300000,-0.000715,-0.000228
9.350000,-0.000791,-0.000274
9.400001,-0.000787,-0.000289
9.450000,-0.001108,-0.000692
9.500000,-0.000805,-0.000230
9.550000,-0.000688,-0.000272
9.600000,-0.000701,-0.000288
9.650001,-0.000732,-0.000294
9.700000,-0.000587,-0.000199
9.750000,-0.000365,-0.000068
9.800000,-0.000297,-0.000023
9.850000,-0.000313,-0.000008
9.900001,-0.000331,-0.000003
9.950000,-0.000334,-0.0000013
10.000000,-0.000335,-0.00000065
10.050000,-0.000336,-0.00000037
10.100000,-0.000336,-0.00000034
10.150001,-0.000336,-0.0000003
10.200000,-0.000335,-0.00000026
10.250000,-0.000335,-0.00000035
10.300000,-0.000337,-0.0000003
10.350000,-0.000340,-0.00000032
10.400001,-0.000340,-0.0000004
10.450000,-0.000339,-0.00000033
10.500000,-0.000338,-0.00000034
10.550000,-0.000340,-0.00000034
10.600000,-0.000340,-0.00000037
10.650001,-0.000340,-0.00000044
10.700000,-0.000340,-0.00000049
10.750000,-0.000342,-0.00000040
10.800000,-0.000341,-0.00000039
10.850000,-0.000344,-0.00000047
10.900001,-0.000344,-0.00000047
10.950000,-0.000343,-0.00000051
11.000000,-0.000344,-0.0000005
11.050000,-0.000345,-0.00000044
11.100000,-0.000344,-0.0000005
11.150001,-0.000346,-0.00000048
11.200000,-0.000346,-0.00000052
11.250000,-0.000346,-0.00000060
11.300000,-0.000347,-0.00000054
11.350000,-0.000346,-0.00000057
11.400001,-0.000346,-0.00000057
11.450000,-0.000349,-0.00000054
11.500000,-0.000349,-0.00000058
11.550000,-0.000348,-0.00000062
11.600000,-0.000349,-0.00000063
11.650001,-0.000350,-0.0000006
11.700000,-0.000349,-0.00000064
11.750000,-0.000350,-0.00000058
11.800000,-0.000351,-0.00000059
11.850000,-0.000353,-0.00000065
11.900001,-0.000353,-0.0000007
11.950000,-0.000353,-0.00000070
12.000000,-0.000353,-0.00000066
12.050000,-0.000351,-0.00000067
12.100000,-0.000352,-0.00000064
12.150001,-0.000353,-0.0000007
12.200000,-0.000355,-0.00000069
12.250000,-0.000354,-0.00000064
12.300000,-0.000355,-0.00000064
12.350000,-0.000354,-0.00000074
12.400001,-0.000357,-0.00000075
12.450000,-0.000356,-0.00000081
12.500000,-0.000357,-0.00000078
12.550000,-0.000358,-0.00000068
12.600000,-0.000356,-0.00000081
12.650001,-0.000356,-0.00000068
12.700000,-0.000358,-0.00000072
12.750000,-0.000358,-0.00000072
12.800000,-0.000360,-0.00000074
12.850000,-0.000358,-0.0000008
12.900001,-0.000360,-0.00000064
12.950000,-0.000359,-0.00000077
13.000000,-0.000361,-0.00000075
13.050000,-0.000362,-0.00000083
13.100000,-0.000361,-0.00000079
13.150001,-0.000363,-0.0000008
13.200000,-0.000362,-0.00000079
13.250000,-0.000361,-0.00000071
13.300000,-0.000362,-0.00000082
