Graph
Time (Seconds),Data (kg*m^2/s^2),Data0 (kg*m^2/s^2),Data1 (kg*m^2/s^2),Data2 (kg*m^2/s^2)
0.000000,Null,Null,Null,Null
0.050000,0.586219,-0.000299,-0.002254,0.001471
0.100000,0.670261,0.000167,0.002414,-0.001250
0.150000,0.639114,-0.000113,0.000352,-0.000179
0.200000,0.633783,-0.000139,0.000105,-0.000028
0.250000,0.632834,-0.000141,0.000163,-0.0000093
0.300000,0.632545,-0.000143,0.000159,-0.0000030
0.350000,0.632464,-0.000143,0.000156,-0.00000077
0.400000,0.632427,-0.000142,0.000156,-0.000000087
0.450000,0.632427,-0.000138,0.000154,0.000000071
0.500000,0.632420,-0.000144,0.000156,0.00000012
0.550000,0.632425,-0.000143,0.000156,0.00000015
0.600000,0.632422,-0.000147,0.000157,-0.0000000063
0.650000,0.632423,-0.000146,0.000156,0.00000022
0.700000,0.632428,-0.000147,0.000155,0.000000066
0.750000,0.632425,-0.000146,0.000156,0.000000043
0.800000,0.632423,-0.000147,0.000155,0.00000013
0.850000,0.632426,-0.000147,0.000155,0.00000019
0.900000,0.632424,-0.000146,0.000156,0.00000009
0.950000,0.632424,-0.000147,0.000156,0.00000011
1.000000,0.632424,-0.000147,0.000156,0.0000001
1.050000,0.632424,-0.000147,0.000155,0.00000017
1.100000,0.632424,-0.000147,0.000156,0.00000012
1.150000,0.632424,-0.000147,0.000156,0.00000013
1.200000,0.632424,-0.000147,0.000156,0.000000099
1.250000,0.632424,-0.000147,0.000156,0.00000013
1.300000,0.632424,-0.000147,0.000156,0.00000012
1.350000,0.632423,-0.000147,0.000156,0.000000064
1.400000,0.632423,-0.000147,0.000155,0.00000013
1.450000,0.632425,-0.000147,0.000156,0.00000016
1.500000,0.632424,-0.000147,0.000156,0.000000094
1.550000,0.632424,-0.000147,0.000156,0.000000012
1.600000,0.632424,-0.000147,0.000156,0.00000013
1.650000,0.632425,-0.000147,0.000156,0.0000002
1.700000,0.632424,-0.000147,0.000156,0.000000014
1.750000,0.632424,-0.000147,0.000156,0.00000013
1.800000,0.632425,-0.000147,0.000156,0.0000002
