Graph
Time (Seconds),Data0 (kg*m^2/s^2)
0.000000,Null
0.050000,0.630730
0.100000,0.967669
0.150000,1.113852
0.200000,0.989734
0.250000,0.904145
0.300000,0.889872
0.350000,0.906898
0.400000,0.923856
0.450000,0.926296
0.500000,0.922048
0.550000,0.917464
0.600000,0.913777
0.650000,0.910307
0.700000,0.906546
0.750000,0.902434
0.800000,0.898015
0.850000,0.893336
0.900000,0.888415
0.950000,0.883237
1.000000,0.877806
1.050000,0.872118
1.100000,0.866187
1.150000,0.860008
1.200000,0.853585
1.250000,0.846911
1.300000,0.840009
1.350000,0.832865
1.400000,0.825490
1.450000,0.817884
1.500000,0.810043
1.550000,0.801982
1.600000,0.793697
1.650000,0.785190
1.700000,0.776468
1.750000,0.767532
1.800000,0.758384
1.850000,0.749030
1.900000,0.739465
1.950000,0.729704
2.000000,0.719739
2.050000,0.709580
2.100000,0.699228
2.150000,0.688691
2.200000,0.677965
2.250000,0.667056
2.300000,0.655969
2.350000,0.644700
2.400000,0.633265
2.450000,0.621658
2.500000,0.609890
2.550000,0.597955
2.600000,0.585856
2.650000,0.573612
2.700000,0.561214
2.750000,0.548660
2.800000,0.535969
2.850000,0.523136
2.900000,0.510158
2.950000,0.497053
3.000000,0.483822
3.050000,0.470460
3.100000,0.456969
3.150000,0.443362
3.200000,0.429645
3.250000,0.415814
3.300000,0.401872
3.350000,0.387828
3.400000,0.373682
3.450000,0.359438
3.500000,0.345105
3.550000,0.330679
3.600000,0.316171
3.650000,0.301584
3.700000,0.286911
3.750000,0.272167
3.800000,0.257358
3.850000,0.242481
3.900000,0.227535
3.950000,0.212535
4.000000,0.197485
4.050000,0.182379
4.100000,0.167224
4.150000,0.152031
4.200000,0.136799
4.250000,0.121529
4.300000,0.106230
4.350000,0.090900
4.400000,0.075547
4.450000,0.060179
4.500000,0.047082
4.550000,0.045946
4.600000,0.040915
4.650000,0.032222
4.700000,0.025142
4.750000,0.025788
4.800000,0.003214
4.850000,-0.002556
4.900000,-0.000651
4.950000,0.001099
5.000000,0.001257
5.050000,0.000833
5.100000,0.000620
5.150000,0.000608
5.200000,0.000633
5.250000,0.000637
5.300000,0.000623
5.350000,0.000609
5.400000,0.000595
5.450000,0.000583
5.500000,0.000572
5.550000,0.000560
5.600000,0.000548
5.650000,0.000536
5.700000,0.000524
5.750000,0.000513
5.800000,0.000501
5.850000,0.000489
5.900000,0.000476
5.950000,0.000463
6.000000,0.000453
6.050000,0.000440
6.100000,0.000428
6.150000,0.000417
6.200000,0.000405
6.250000,0.000392
6.300000,0.000379
6.350000,0.000368
6.400000,0.000358
6.450000,0.000346
6.500000,0.000332
6.550000,0.000319
6.600000,0.000308
6.650000,0.000297
6.700000,0.000284
6.750000,0.000273
6.800000,0.000259
6.850000,0.000249
6.900000,0.000236
6.950000,0.000224
7.000000,0.000212
7.050000,0.000202
7.100000,0.000188
7.150000,0.000176
7.200000,0.000164
7.250000,0.000153
7.300000,0.000141
7.350000,0.000128
7.400000,0.000115
7.450000,0.000105
7.500000,0.000092
7.550000,0.000082
